date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:23:31	93/93	---M-Z	200	added ('OK')	text/plain	date:Sun,%2030%20Jul%202023%2007:23:30%20GMT	https://www.gropia.net/robots.txt		(from )
10:23:31	55436/55436	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:31%20GMT	https://www.gropia.net/	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/index.html	(from )
10:23:31	25794/25794	---M--	200	added ('OK')	image/png	date:Sun,%2016%20Jul%202023%2016:18:40%20GMT	https://www.gropia.net/assets/uploads/images/landing/logo/z6C1X3m1J3S3.png	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/assets/uploads/images/landing/logo/z6C1X3m1J3S3.png	(from https://www.gropia.net/)
10:23:31	101583/101583	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/css/fontawesome-all.min.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/css/fontawesome-all.min91c4.css	(from https://www.gropia.net/)
10:23:32	10404/10404	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/fonts/import/Poppins.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/fonts/import/Poppins91c4.css	(from https://www.gropia.net/)
10:23:32	13567/13567	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/fonts/import/Nunito.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/fonts/import/Nunito91c4.css	(from https://www.gropia.net/)
10:23:32	31665/31665	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/libraries/sweatalert2/sweatalert2.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/libraries/sweatalert2/sweatalert291c4.css	(from https://www.gropia.net/)
10:23:32	16264/16264	---M-Z	200	added ('OK')	text/css	etag:W/%223f88-kT+fe5U1rseQyjzp1uNaz682mZM%22	https://cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css	C:/My%20Web%20Sites/AndreNetwork/cdn.jsdelivr.net/npm/select2@4.1.0-rc.0/dist/css/select2.min.css	(from https://www.gropia.net/)
10:23:33	171192/171192	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/css/main.min.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/css/main.min91c4.css	(from https://www.gropia.net/)
10:23:33	18452/18452	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/css/dark.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/css/dark91c4.css	(from https://www.gropia.net/)
10:23:33	3351/3351	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/css/owl.carousel.min.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/css/owl.carousel.min91c4.css	(from https://www.gropia.net/)
10:23:33	1013/1013	---M-Z	200	added ('OK')	text/css	date:Sun,%2016%20Jul%202023%2016:18:41%20GMT	https://www.gropia.net/main/themes/default/theme/assets/css/owl.theme.default.min.css?v=6130	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/main/themes/default/theme/assets/css/owl.theme.default.min91c4.css	(from https://www.gropia.net/)
10:23:33	74032/74032	---M--	200	added ('OK')	image/jpeg	date:Sun,%2016%20Jul%202023%2016:18:40%20GMT	https://www.gropia.net/assets/uploads/images/landing/images/default/o3U3U2x4N5Z6.jpg	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/assets/uploads/images/landing/images/default/o3U3U2x4N5Z6.jpg	(from https://www.gropia.net/)
10:23:34	17598/17598	---MC-	302	error ('Found')	text/html	date:Sun,%2030%20Jul%202023%2007:23:34%20GMT	https://www.gropia.net/kredi/yukle	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/kredi/yukle	(from https://www.gropia.net/)
10:23:34	49862/49862	---MCZ	200	added ('OK')	text/html	date:Sun,%2030%20Jul%202023%2007:23:34%20GMT	https://www.gropia.net/login?return=/kredi/yukle	C:/My%20Web%20Sites/AndreNetwork/www.gropia.net/login2840.html	(from https://www.gropia.net/)
